id,value
OSObject.IORegistryEntry.IOService.IOUserClient.AppleThunderboltEDMSourceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.CoreAnalyticsUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.CoreAnalyticsTestUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.EXBrightKextUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.EXDisplayPipeUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.com_apple_driver_FairPlayIOKitUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVDisplayMemoryUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVDisplayMemoryUserClient.IOAVDisplayMemoryConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVDeviceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVDeviceUserClient.DCPAVDeviceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVDeviceUserClient.IOAVDeviceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVServiceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVServiceUserClient.DCPAVServiceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVServiceUserClient.IOAVServiceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVVideoInterfaceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVVideoInterfaceUserClient.DCPAVVideoInterfaceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVVideoInterfaceUserClient.IOAVVideoInterfaceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVAudioInterfaceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVAudioInterfaceUserClient.DCPAVAudioInterfaceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVAudioInterfaceUserClient.IOAVAudioInterfaceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVControllerUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVControllerUserClient.DCPAVControllerProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVControllerUserClient.IOAVControllerConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVControlInterfaceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IOAVControlInterfaceUserClient.IOAVControlInterfaceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPDeviceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPDeviceUserClient.DCPDPDeviceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPDeviceUserClient.IODPDeviceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPServiceUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPServiceUserClient.DCPDPServiceProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPServiceUserClient.IODPServiceConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPControllerUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPControllerUserClient.DCPDPControllerProxyUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAVUserClient.IODPControllerUserClient.IODPControllerConcreteUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryHIDDeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOPortTransportUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryOOBPairingInterfaceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.HSAIDUserClientHost,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryPortUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryManagerUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.HSAIDUserClientAccessory,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOPortUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryConfigStreamUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryIDBusUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAccessoryEAInterfaceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.VADResourceArbiterUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAudio2DeviceUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAudioCodecsUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOBiometricUserClient,
OSObject.IORegistryEntry.IOService.IOUserClient.IOBiometricUserClient.ApplePearlUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOCECUserClient,0
OSObject.IORegistryEntry.IOService.IOUserClient.IOAESAcceleratorUserClient,0
